"","astroBYo","AveExpr","F","P.Value","adj.P.Val"
"Sypl2",3.33668380725052,0.444703527668374,220.752938757061,4.66724724393514e-15,2.58133776943943e-12
"Ranbp3l",2.47337768345809,0.349397859986615,219.252039512417,5.09365851068016e-15,2.74846359101896e-12
"Itga7",5.89276370907377,1.19929711027593,217.927871430721,5.50452794211276e-15,2.89944456341334e-12
"Gm37427",2.13829168479674,0.178678497546077,217.330171101894,5.70146753145751e-15,2.9333387488008e-12
"Grhl1",4.86574331045993,0.906016540623662,209.713791787917,8.99195749546207e-15,4.48301314257199e-12
"Fmo1",5.62855141934654,1.18281874792734,209.483384661047,9.11881713220357e-15,4.48301314257199e-12
"Gm17660",2.95304421275249,0.311189024334518,207.987330272192,9.99053020907207e-15,4.80479347424568e-12
"Msx2",2.62279722211213,0.258589068050836,205.690678959349,1.15066604783553e-14,5.41620956941819e-12
"Gm38191",2.78944283721108,0.292541506696298,203.63418616481,1.30739929631279e-14,6.02574888173499e-12
"Aldh1l1",5.50467276793268,0.876827192486288,203.261834595529,1.3381426744763e-14,6.04157763008963e-12
"Gm48606",2.03887265810275,0.196187219946957,201.83767708901,1.46305622232241e-14,6.47343856128772e-12
"Gpr179",2.78316423887999,0.375368188987036,200.267571515895,1.61536741393603e-14,7.00721045068761e-12
"3930402G23Rik",4.03243833608067,0.494310902664098,197.439413754214,1.93417854092098e-14,8.22115473941021e-12
"Atp13a4",4.86072533081758,0.645627765398562,197.156899260258,1.96953939876482e-14,8.22115473941021e-12
"Gm14230",3.01831431629953,0.636277019011022,194.473086114264,2.34210626303634e-14,9.59526238095425e-12
"Gm973",1.91794174465063,0.172747237482711,193.397895113364,2.51191773266831e-14,1.0103846545422e-11
"Egfr",4.43955440011626,0.603716539024328,192.477067654578,2.66782710545594e-14,1.05393462596432e-11
"Aass",2.42401959068806,0.331022774819816,186.746854940475,3.90301916306794e-14,1.51485075341319e-11
"Pm20d1",3.02341534539619,0.525052252520484,183.735233592865,4.78659379763173e-14,1.82575542387943e-11
"Nat8",5.36890727832205,0.724563925446917,182.026370176631,5.3811877145537e-14,2.01776297981477e-11
"Gm22740",2.39412607940811,0.159608405293874,179.479614430716,6.41856022704348e-14,2.36663013171472e-11
"Slc7a11",2.59093478018976,0.465384196389625,173.117144140598,1.00668727931445e-13,3.6509742098809e-11
"Gm30437",4.63409954497068,0.536108745800479,170.04483410823,1.25749374754868e-13,4.48702164145473e-11
"Alpk3",2.59598120683889,0.335484579534773,169.609419213302,1.29813288073684e-13,4.55850693976842e-11
"Pdzph1",2.52604705633735,0.332015235065489,169.327064800736,1.32523533991814e-13,4.58096584765765e-11
"Sorcs2",3.51933755780469,0.587299022396369,168.708821971368,1.38671483974064e-13,4.7197372922434e-11
"Chrdl1",4.3760737122603,0.640307194802597,162.917413744773,2.13571401689924e-13,7.15884866603967e-11
"Slc25a34",5.58133764454015,1.35710890621195,161.719490590943,2.33910139576162e-13,7.72357316096036e-11
"Gm27668",1.66691346494711,0.111127564329808,158.76445234037,2.93481877305486e-13,9.54808760533716e-11
"St6galnac5",1.85688230920247,0.15730782679541,157.983509121307,3.11804189485421e-13,9.99716533911010e-11
"Pamr1",3.88339773151397,0.584593642968844,157.761342367003,3.17237351367411e-13,1.00260598918589e-10
"4930412L05Rik",2.61180725389887,0.374260032646576,156.572364746676,3.4808752666549e-13,1.08461131724234e-10
"Gm26512",1.98321617780628,0.195642794969266,156.210418623678,3.58104218927265e-13,1.1003249493511e-10
"Plcd4",5.18092169688651,1.16405328400113,154.605067008394,4.06397595446522e-13,1.2316073978169e-10
"Notch3",4.85234372115129,0.75776526416085,149.133832297955,6.30818521201625e-13,1.88589164115453e-10
"Rgs20",3.39327142502993,0.547100613883422,148.379196553966,6.70973098696789e-13,1.97919171499587e-10
"Gm24765",2.65374551672144,0.176916367781429,147.624362295436,7.13884678385318e-13,2.07806193946295e-10
"Gm24334",1.60378685275063,0.106919123516709,146.980790236912,7.5279087865999e-13,2.16285618293441e-10
"Slc14a1",5.35686140963994,1.23628647824162,146.28219712672,7.97603972992761e-13,2.26222983263062e-10
"Gm45518",5.41134532090154,1.04047438749949,145.713682211984,8.36178151153075e-13,2.34161635923538e-10
"Ccdc80",5.69653524698515,1.39354759712963,144.725116784414,9.08084221954029e-13,2.51119340528612e-10
"Hgf",4.41464651564705,0.905266322922482,142.849999277634,1.06329053240606e-12,2.90409585782953e-10
"Gm13111",4.48101575103024,0.872708490971999,141.220602218505,1.22127372032872e-12,3.29490713595515e-10
"Gm12052",2.63984257495271,0.201680410965405,140.759597332078,1.2703979757971e-12,3.38614631548907e-10
"Cyp4f14",4.43504801509825,0.660436616427866,139.932500857997,1.36390819286324e-12,3.59211201794207e-10
"Aox1",2.91455656627473,0.424048690030242,138.926810824871,1.48763615301727e-12,3.87187936625895e-10
"Cybrd1",4.79490609858964,0.853375227052235,138.079383778257,1.60121999849801e-12,4.11904535195016e-10
"Aspg",2.9499334981873,0.40817629174291,136.801231294969,1.79043026352542e-12,4.55283778390493e-10
"Rorb",2.9774510462682,0.519413193155101,136.221169248223,1.8840636756733e-12,4.73649326101369e-10
"4930447K03Rik",2.95733726781279,0.854377849274778,134.751577004689,2.14553545403391e-12,5.33322256736992e-10
"Paqr6",6.18439697554255,1.20394011961377,134.453669683013,2.20312528737433e-12,5.41552674806471e-10
"Palld",2.14802533686267,0.38376424930439,134.294801805872,2.23451064498461e-12,5.43231637351588e-10
"F630040K05Rik",1.87486956541813,0.308063819166228,133.762601619048,2.34318191290737e-12,5.58377922344303e-10
"Acsf2",3.40523245753906,1.18525524757302,133.724435743774,2.35118935431886e-12,5.58377922344303e-10
"Megf10",3.66061834356465,0.658554569570835,133.623385527094,2.37253196674793e-12,5.58377922344303e-10
"Cbs",6.1573527607788,1.30562552648742,131.358972708282,2.90941733085614e-12,6.75377686366178e-10
"Cyp4f15",5.87284424016913,0.955238780651918,131.278594771545,2.93071725765733e-12,6.75377686366178e-10
"Gm17746",2.12189115665195,0.271730400047005,129.146092304084,3.56132906767061e-12,8.12240030557493e-10
"2900052N01Rik",5.03067382409043,0.826906140905673,127.803836379056,4.03161006560481e-12,9.10115402871175e-10
"Prrx2",1.67215780577518,0.224757757452602,127.138138888155,4.2891054139532e-12,9.58463424978652e-10
"Tnc",6.00511940993367,0.684847952871572,126.575357570711,4.52052071638466e-12,1.00007479808578e-09
"Bcl2l12",2.81211290925101,1.40520088602068,126.361555571404,4.61190501325294e-12,1.01018984760589e-09
"Plekhd1",1.86854317649345,0.237091416637056,125.649861827594,4.93061115686387e-12,1.06941088846372e-09
"Gm47076",4.88004670872377,0.864450743475628,123.998824824615,5.76430479825951e-12,1.22979288888262e-09
"Gm20383",2.41400084038272,0.334068242961191,123.967984148482,5.781243974316e-12,1.22979288888262e-09
"Gm11734",2.62868891331727,0.382342901041166,122.200741666779,6.84670978827963e-12,1.44256914901057e-09
"Kcnn3",4.04662575585624,0.755416020357757,120.544098079114,8.03779566648912e-12,1.67754861820508e-09
"Rfx4",3.54575009194359,0.567605351257874,120.341868147896,8.19772281698059e-12,1.69493665308469e-09
"4933416E14Rik",4.27444076595782,0.593790936241683,120.062695344966,8.42411275978226e-12,1.72561709800614e-09
"Gm13322",2.8681394929499,0.327312250238952,119.720750005764,8.71055564224682e-12,1.76792314195804e-09
"Raver2",3.67571819141688,1.0601946488149,119.506702590646,8.89514785457428e-12,1.78897596351588e-09
"Pla2g3",6.34828122019753,1.22617798458485,118.68315566277,9.64534203937035e-12,1.92237749492784e-09
"Gpc4",2.68931982898592,0.460426523720489,117.807485311993,1.0517819028608e-11,2.07755098544549e-09
"Pipox",3.84339661663561,0.624239215555821,117.514176089674,1.0828625998535e-11,2.12001498199638e-09
"Dlk1",3.20328086662385,0.409845513022844,117.087371732658,1.1298562056373e-11,2.19261481029071e-09
"Nwd1",5.98707494177034,1.1082005113749,116.944065113464,1.1461203516891e-11,2.20288908271906e-09
"1600014C23Rik",3.19947360573091,0.361744347790534,116.866171943757,1.15506546849618e-11,2.20288908271906e-09
"AC140304.2",4.10287170535903,0.760560217541096,116.21095172586,1.23333276477207e-11,2.33205305598739e-09
"Gm4491",2.44024964912135,0.364897087944841,114.568898094738,1.45550190498134e-11,2.72881937660188e-09
"Lrig1",5.09166594524707,1.38982429100091,114.266364111276,1.50091598949141e-11,2.7903163391192e-09
"Ddit4l",3.28711513168901,0.757900531055925,114.092879920846,1.52763977310173e-11,2.81633122502747e-09
"Ppp1r3g",5.00857385100433,1.04638428696495,113.64556309033,1.59892074140471e-11,2.92338211256995e-09
"Gm44764",1.64241844200271,0.158876326594831,113.079009248284,1.6943484078975e-11,3.06889564717743e-09
"Ddo",1.63088709028799,0.217888641733458,113.01074032692,1.70625215659189e-11,3.06889564717743e-09
"Slc4a4",5.44017499023597,0.91594418423399,112.823557592349,1.73935151880617e-11,3.10319948794749e-09
"Pax4",2.214447318935,0.268776452325982,111.75927641723,1.94107827696933e-11,3.4353979777114e-09
"Nat8f7",2.27650015888474,0.278077116407788,111.603046585013,1.97273729487908e-11,3.46371961703254e-09
"AC122018.1",2.58688550061108,0.350067132229554,111.155112074317,2.06660889615158e-11,3.59996760705208e-09
"Cldn10",3.96188045098167,0.869637033963689,110.432280887125,2.22830845251963e-11,3.85131780430404e-09
"Ttpa",4.15113293256632,0.741324104756665,110.204719158624,2.28197447910005e-11,3.91349778303336e-09
"Sfrp5",3.9060390077315,0.6763293885155,109.811979476538,2.37787281253597e-11,4.04659078705641e-09
"Gm11627",5.14412782412377,0.941289547185184,107.165626570793,3.1477713465099e-11,5.31588896937698e-09
"Sctr",3.52322549390568,0.448690384422775,107.03569809512,3.19187184099772e-11,5.34952884381762e-09
"Abcd2",4.42858244356123,3.09405895236455,106.15079336488,3.51037490122697e-11,5.83909954434919e-09
"Alpl",3.73341039710545,0.67809956163349,104.285180151184,4.2987861352295e-11,7.09716758728972e-09
"Otx1",5.77438787195385,0.969016401720982,104.026732686722,4.42215334311657e-11,7.24676284516799e-09
"Loxl1",3.36421471344268,0.5906599514705,103.1207211649,4.88542101512962e-11,7.94707125865534e-09
"Gm47796",1.74004051628613,0.16985489301753,102.028563920156,5.51392545761191e-11,8.9039834232663e-09
"Arhgap8",1.95527186504974,0.442941219285247,101.707378414021,5.71481273994766e-11,9.16150740912045e-09
"Ccdc190",4.65220588394976,0.815298435300337,100.746175000804,6.3641954942413e-11,1.01291436632446e-08
"Hoga1",2.53870266073699,0.662953900121068,100.422704126741,6.6001251017315e-11,1.04296119732576e-08
"Ppil6",2.92609083547761,0.828168597692093,100.275741325901,6.71038980214886e-11,1.05162913593684e-08
"Stk38l",3.18181140553006,1.64859496768142,100.223513162996,6.75004914808262e-11,1.05162913593684e-08
"Cfap100",4.9158845209694,0.959086144950351,99.9641846145721,6.95071682046422e-11,1.07531963789601e-08
"Gm10688",1.52686176380358,0.119977186481032,99.8687209797801,7.02618476519484e-11,1.07944642750282e-08
"Gm35189",2.39678246211621,0.258429244314145,99.790148180911,7.08895726339604e-11,1.08157932095249e-08
"Itih3",6.47657080868751,1.47502506590887,99.3561267672538,7.44668165703363e-11,1.12837628971613e-08
"Znrf3",2.52754146146448,0.881547921278714,99.0253809697383,7.73223321084513e-11,1.16367479811923e-08
"C2cd4b",3.09164207339727,0.593338502092821,98.8367426700515,7.90032074190904e-11,1.18093780927874e-08
"Entpd2",5.94957774543889,1.35556293737123,98.1893339113521,8.5075682203652e-11,1.26317403851771e-08
"Erbb2",4.12699105560282,0.689193824312465,98.0453369263698,8.64930438836927e-11,1.27565707322596e-08
"Olfml2a",3.00068538544647,0.703913194062283,97.486949038773,9.22327620472594e-11,1.3513015859414e-08
"Upp1",3.18541692479705,0.74689347982493,96.0893527704296,1.0846192076875e-10,1.57862044287307e-08
"Gm10561",4.22899504705732,1.00979852541105,95.2353707481505,1.19862318656584e-10,1.73068132917753e-08
"9830144P21Rik",1.51004762403391,0.22827218069825,95.1920260893161,1.20474133116367e-10,1.73068132917753e-08
"Gm15601",1.69695483713514,0.236658927073877,95.0021571819742,1.23193783052049e-10,1.75833294352289e-08
"Emp2",4.74265122690815,1.38664797487993,94.938625341872,1.2411840294865e-10,1.76017399258524e-08
"Folh1",3.39537401097945,0.649635257602876,93.3592631065181,1.49661841254687e-10,2.10889739750155e-08
"Tmem82",4.95192606112707,0.872931780151665,93.0128863229042,1.55983252308302e-10,2.18406170304846e-08
"Abcg1",-3.19690328124008,2.63499233338151,92.8374020664144,1.59294303554829e-10,2.21639489153679e-08
"Ttc12",2.45431551216969,0.8005775358449,92.660551290759,1.62707300926381e-10,2.24973351149645e-08
"AC160550.2",2.61089659967834,0.54538388590667,92.2290361918543,1.71367571115909e-10,2.35476073030885e-08
"Mapk4",3.53812828122234,0.66702371026815,91.7155838038619,1.8231937845586e-10,2.48978494418456e-08
"D030055H07Rik",2.29560272567241,0.499641267991952,91.5604694313105,1.85773358257067e-10,2.51647552323693e-08
"Aifm3",6.13126023064223,1.34843789448413,91.5260676595817,1.86548834159407e-10,2.51647552323693e-08
"Olfml1",3.80621023819907,0.781484013945566,91.3519272000536,1.90527738153352e-10,2.55457281888886e-08
"A330041J22Rik",3.0722185660565,0.478870631928322,90.9880690041427,1.9913744407549e-10,2.65392631041088e-08
"9430041J12Rik",3.45770761171016,0.65802208421572,89.9114123508065,2.27142167319844e-10,3.00902165725564e-08
"Eepd1",3.31798427412545,1.34477981078066,89.4969277071234,2.39021541270054e-10,3.14754378423655e-08
"Chn1os3",2.22842545566469,0.396506619359136,89.3382226436226,2.43744550387227e-10,3.19074596935895e-08
"Slc13a3",4.20610358302278,1.35766659969093,88.862228563521,2.58518452630979e-10,3.35413979276756e-08
"Gm5407",1.47427899827892,0.098285266551928,88.8391513062325,2.59258646911925e-10,3.35413979276756e-08
"Hacd2",2.94761811029447,1.965422879136,88.6236581586067,2.66280929526808e-10,3.42496104879161e-08
"Gm27202",4.46917268009398,0.788545613691306,88.2488940641966,2.78982490666368e-10,3.56758938786824e-08
"Phkb",2.46433335956769,1.41680059663853,88.1131321853132,2.83742341116569e-10,3.60760448995509e-08
"4930527E20Rik",3.29573184736946,0.831762410139454,87.9529464975394,2.89470455048934e-10,3.65940278688432e-08
"Ppp1r3c",6.88501849861907,2.252630402767,87.1432770765535,3.20378805093792e-10,4.00102202965191e-08
"Ptpn13",3.02356453368898,0.550438841269823,87.1065323281745,3.218627304109e-10,4.00102202965191e-08
"Lgals12",1.7035323480276,0.223106257661419,87.1051367783134,3.21919233954726e-10,4.00102202965191e-08
"Nat8f3",1.75301068554056,0.196100489338293,86.7736319300267,3.35646693378837e-10,4.14833061319554e-08
"Ngef",4.45707056561241,1.03245132526545,86.2354725722778,3.59282170775192e-10,4.39637745674529e-08
"Nphp3",3.66883605328185,1.1413871691974,86.2265010517582,3.59690964006192e-10,4.39637745674529e-08
"Ptar1",3.26908589485221,1.54705107275615,85.7972714628305,3.79842321739085e-10,4.61717125485373e-08
"Lrrc9",1.75395513164686,0.343751938517797,85.482871144115,3.95367469946504e-10,4.779625430397e-08
"Gm6556",1.69860246448411,0.283780458035478,85.18620002135,4.10640696335091e-10,4.937284850555e-08
"Tekt5",1.66800270227034,0.249874288738781,85.072982182805,4.16634688456295e-10,4.98227525011817e-08
"Gm12963",1.67033363811651,0.230539561518174,84.8008893921694,4.31425898795803e-10,5.13141675218255e-08
"Birc7",2.48732902253525,0.404797535734055,84.2097939056979,4.65529241898078e-10,5.50743498316106e-08
"Ppara",1.84891479334139,0.314395851585853,83.8243454752544,4.89313334992885e-10,5.75802069683382e-08
"Vgll2",1.37995725200371,0.138538566255166,83.1783246170261,5.32139215128449e-10,6.22884436840565e-08
"Gm26862",1.55673091084265,0.266965038893801,83.0228606692541,5.4303256887414e-10,6.30291019187239e-08
"Slc6a11",6.07815588399728,1.45882065864601,83.0068933889865,5.44164826943736e-10,6.30291019187239e-08
"Lrrc38",1.70752281813874,0.239228854764027,82.9558322331002,5.4780261126398e-10,6.3119985255172e-08
"Flnc",2.29472659552709,0.59197037952799,81.6741731490228,6.48183650052046e-10,7.42993103114063e-08
"Tulp3",3.5056828187251,1.64489269844757,81.5714319608203,6.57041868592837e-10,7.49264807158728e-08
"Sned1",2.89861571757545,0.85035178635265,81.350323266469,6.7654778722324e-10,7.67552138294345e-08
"Fam181a",4.93701377827,0.772547720760491,80.7828787511207,7.29497709182408e-10,8.23401929604205e-08
"Gm7967",3.26869224970089,0.63684260376426,80.6624653537981,7.41293980082257e-10,8.3246937671877e-08
"Mcc",1.71242345380721,0.339357212999651,80.5550725221998,7.51986887144589e-10,8.40212419409078e-08
"Dmp1",2.15082358153704,0.39090265945927,79.639214751376,8.5017135426703e-10,9.45142757309021e-08
"Gm43126",2.17830240208035,0.359508596131463,79.3531014088645,8.83588004171854e-10,9.77380870814696e-08
"Slc30a10",6.8051078261678,1.3446406391371,78.9314320499108,9.35422882209022e-10,1.02957017030399e-07
"Ddr2",1.78297516428746,0.31532855503501,78.8307003719659,9.48280820093636e-10,1.03855527638275e-07
"Mamdc2",1.8537340749643,0.333392231279932,78.652000585467,9.71558476900697e-10,1.05880729972779e-07
"Ak4",2.88063413919494,0.853436486111264,77.9659204077359,1.06676815626949e-09,1.15243983987054e-07
"Ucp3",2.40689014070891,0.416614239844683,77.9582054592543,1.06789389853754e-09,1.15243983987054e-07
"Gm6133",4.65434744230187,0.779289529653626,77.8951032870398,1.07714941708904e-09,1.15678526962431e-07
"Herc6",1.6254164662732,0.82712166770268,77.501984665779,1.13677717380614e-09,1.21492373990886e-07
"Pxmp2",2.28438311547839,0.721477189895299,77.39217159955,1.15405733476268e-09,1.22746203927667e-07
"Frmpd1",3.39641761306468,0.620519055602892,77.2782100076131,1.1722877481693e-09,1.24088621305021e-07
"Gm36500",2.12780018902903,0.417620867303219,77.1393603732873,1.19491675119486e-09,1.25881634698494e-07
"Gm48007",1.98170225699142,0.247261049257032,76.8765550689591,1.2390365024796e-09,1.29910922011167e-07
"5033404E19Rik",1.34712101186774,0.150092084684596,76.4369896612322,1.31677180174442e-09,1.37271553047131e-07
"2900005J15Rik",3.59437233708012,1.18110819537622,76.4103424839043,1.3216489987361e-09,1.37271553047131e-07
"Gm44065",2.74076194437536,0.711032335697959,75.9379155665516,1.41140208685638e-09,1.45908637231419e-07
"1700007K13Rik",3.03926595980889,0.615581541254266,75.8531374583741,1.42818736712509e-09,1.46957158711202e-07
"Boc",3.17009949118017,0.676992059591402,75.6692887304094,1.46532573539062e-09,1.50080561315031e-07
"Lgi4",4.5756919059466,1.09536251372197,75.113538113809,1.58400905420585e-09,1.61488628139152e-07
"Gabrb1",2.27244834323138,0.428194501951496,74.1031158476869,1.82694817577624e-09,1.85401717856412e-07
"Abhd1",3.14744966700761,1.49284457537371,74.0352058029684,1.84464691523998e-09,1.86343030620338e-07
"Qrfpr",1.59184498310307,0.258444973267901,73.7963408968672,1.90837146179828e-09,1.91904099315288e-07
"Gm12494",1.59428568991718,0.170790096302083,73.7086372261409,1.93235663861737e-09,1.93436768851276e-07
"Srebf1",3.344321638316,4.06925291738689,73.5103931270354,1.98776869011404e-09,1.98087417708977e-07
"Lpin3",1.47129246248509,0.239713053805489,72.7439715892262,2.21852254888302e-09,2.19383665443876e-07
"AI182371",1.95027247484496,0.471151103483837,72.709635790958,2.22950924721104e-09,2.19383665443876e-07
"4921530L21Rik",2.40894581507442,0.326189195479443,72.7042993198975,2.23122201893378e-09,2.19383665443876e-07
"Map7d3",1.85492259325424,0.575030755770676,72.5535914940756,2.28017835130479e-09,2.23205246309363e-07
"Rgs7",2.77415061641638,0.560875634370368,72.4673123212878,2.3087216121163e-09,2.25003736673344e-07
"Gm44956",1.91464314762031,0.308180140207314,72.3828849120315,2.33702249727795e-09,2.26075411536113e-07
"Dbx2",4.48487383955829,1.01553083650058,72.3736045901513,2.34015591202685e-09,2.26075411536113e-07
"Gdpd2",6.36369422481688,1.13512113577675,72.0491493562648,2.45257978431617e-09,2.35906185080116e-07
"Lipg",3.05111582626382,0.522413481418692,71.5709255851388,2.62894317165976e-09,2.51775367041683e-07
"Fam228a",2.76787774344581,0.664576788998257,71.3299372495651,2.72291419514822e-09,2.59650994565793e-07
"Rbm20",1.63718901653327,0.357158362297242,70.5922743136302,3.03358057764202e-09,2.88033918966414e-07
"Rarres1",1.92810752830562,0.386104349507451,70.3385884429457,3.14900944747036e-09,2.9771596583926e-07
"Rdh5",3.41839300833257,1.68208874927582,70.2386024035545,3.1957866907897e-09,2.99729086916433e-07
"Igsf1",4.75319916586925,0.968208023546149,70.2351834482568,3.19739929088633e-09,2.99729086916433e-07
"Gm44899",2.29385369789495,0.987730689994647,70.094482428561,3.26452376469122e-09,3.04730207790143e-07
"Dnaic1",1.36534971535653,0.249681979971649,69.9233750463138,3.34819174758254e-09,3.11227084167094e-07
"Glud-ps",3.47438015349124,3.98385410681284,69.8834133062569,3.36806074464636e-09,3.11764049597537e-07
"Gm34829",1.71912094294253,0.363741200036104,69.6013781645671,3.51192559560646e-09,3.23322409738314e-07
"Rhoq",3.16309777865429,2.49794690229516,69.5817912655666,3.52215796894335e-09,3.23322409738314e-07
"Agt",3.47908040589739,0.955239984143346,69.5123607299612,3.55868674385442e-09,3.25325730720212e-07
"Lyrm4",1.46657248403381,0.570284752476109,69.3118493481237,3.66647327414723e-09,3.33799951621232e-07
"D030047H15Rik",1.32031748270572,0.166344829100788,69.0028104787389,3.83949510288832e-09,3.47030826028835e-07
"Amot",4.12863063310365,1.11056019219012,68.9964011805054,3.84317463169844e-09,3.47030826028835e-07
"Gm37843",2.56103567428863,0.351312565006114,68.7984877804964,3.958672089814e-09,3.56006921312826e-07
"Gm47431",1.64420036895707,0.35448792424783,68.6358935610081,4.05633621722694e-09,3.63313061270087e-07
"Il17rd",3.53955529891788,0.867793990177114,68.1326468510201,4.37530285448833e-09,3.90301713910667e-07
"Vit",1.89385107347524,0.299997354685618,68.0454047378063,4.43327629222791e-09,3.93885025754852e-07
"CR974586.6",1.65819486673236,0.250930999027493,67.9440849457812,4.5016375056982e-09,3.98358906154245e-07
"Gm44135",5.42685863817575,0.94818218718932,67.6824577787544,4.68342819601463e-09,4.12794748926022e-07
"Wwc1",3.55085838465666,0.826129949756321,67.6318196184543,4.71951241949456e-09,4.14324497049516e-07
"Dpf3",1.77183436193313,0.393452165630978,67.2471432973948,5.00353398571082e-09,4.37522459944192e-07
"Cep85l",3.44641205950422,1.80780992709369,67.0815145613964,5.13140618821357e-09,4.46937398038775e-07
"Pygb",3.1622669041316,4.04389020582486,66.8230978162208,5.33794633621193e-09,4.63103477631437e-07
"Thbs4",1.73190544716292,0.28203264608793,65.9023455022639,6.14925886305891e-09,5.31406460263485e-07
"Plscr1",3.94242675068468,1.75982834818405,65.6180992953606,6.4256278303316e-09,5.51164404948889e-07
"Prodh",3.60031581123969,1.57352740015056,65.6159991960813,6.42771850457955e-09,5.51164404948889e-07
"Elf5",1.19306353601766,0.169977618675298,65.1323065796425,6.92918492668642e-09,5.91870108621945e-07
"Nat8f6",1.37552486318052,0.149107314359545,65.0379378800251,7.03181302389092e-09,5.98326152028996e-07
"Alms1-ps2",1.44831281294309,0.218327057252047,64.9893595313988,7.08527590964636e-09,6.00565359958262e-07
"Slc25a18",4.98412883347356,2.24561458795844,64.7291602239944,7.37913746703772e-09,6.23086481615555e-07
"Mtmr11",4.54710245238472,1.2176132259075,64.320937992047,7.86675476373426e-09,6.61734660220886e-07
"Arhgef26",3.9887505017038,0.90909411375201,64.1105699566175,8.1313951837164e-09,6.81404756247568e-07
