"","macrophagesBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm26863",6.96138630365074,1.56047222502362,424.455001360046,7.92895276005589e-19,9.23222220582718e-16
"Arg1",7.58325880073698,2.1464116267692,420.952478404153,8.87196413398591e-19,9.60604705861933e-16
"mt-Tq",-8.17585711269064,2.89027389956729,418.889974326336,9.48281056877081e-19,9.60604705861933e-16
"Gm20594",-3.49941729947547,0.233294486631698,418.663294700019,9.55263912171157e-19,9.60604705861933e-16
"Serpinb2",7.95239915688813,1.94563513063588,395.933534951693,2.03293599838078e-18,1.9554192648773e-15
"Wnt2",4.14945635484436,0.965328111729267,375.824587325103,4.10504795375616e-18,3.78399899503948e-15
"mt-Te",-5.32124565490841,2.93951554310695,341.53980652911,1.48090914028574e-17,1.31048611642166e-14
"Hal",4.25477269945115,1.08884898685907,317.444899647968,3.92645828798823e-17,3.3409629501986e-14
"Cdkn2a",3.80560751698334,0.914450747223003,307.63176246317,5.95667067259962e-17,4.74754051474004e-14
"mt-Ta",-10.9418308151209,0.922820860171011,307.429877186282,6.00873002814813e-17,4.74754051474004e-14
"F7",6.23963778285846,1.61427982185444,260.579148107497,5.29340391731636e-16,4.03813706423413e-13
"Gm26641",3.46167537193798,1.18098301741991,253.136762060844,7.72429322237324e-16,5.69615129861877e-13
"Gm45751",-3.57083235535192,0.27754005506083,246.336577052353,1.10069594034074e-15,7.8550633187607e-13
"Fabp4",11.1042109761639,2.87225373996062,238.626438720732,1.66242625958492e-15,1.14930800439991e-12
"Platr26",2.94192082935243,0.665330649712542,229.080527344577,2.81693452125245e-15,1.88845583071721e-12
"mt-Ts2",-10.1517384715038,0.879730131382512,227.549675310853,3.07111947340221e-15,1.99830517970815e-12
"Cyp26a1",4.26973752252978,1.01258115137185,222.214899761243,4.16705248979604e-15,2.63393434947879e-12
"Gm35657",3.09737998022504,1.00679292357494,189.278203579826,3.21054709992047e-14,1.96388355660173e-11
"Tpsb2",5.13334869735755,1.32411395574756,188.936319302598,3.28453155513555e-14,1.96388355660173e-11
"Naip1",3.30960858261512,0.850373394629684,182.280936024007,5.15537542003288e-14,3.00137816887862e-11
"mt-Tv",-11.1290024197137,1.14126121312829,179.402490310177,6.29314653744432e-14,3.56982771404822e-11
"C1ra",4.50250292072464,1.81764771230338,172.470768946599,1.02913620352895e-13,5.69189505766776e-11
"Rpsa-ps3",2.48213453331608,1.5807004208218,169.735832366812,1.25543351684103e-13,6.77413553489610e-11
"Gm47854",2.30274988358267,0.833539448342722,163.450462185904,2.0035243114061e-13,1.05533257955327e-10
"Gm13647",3.18420152397379,0.843766018728203,153.844817967797,4.21993640449389e-13,2.17110821108415e-10
"Cyp2e1",2.89211235993915,1.26282622518026,149.894026616964,5.79915749165741e-13,2.90589181540811e-10
"Gm26316",-3.9034592366578,0.322462853309956,149.65974739766,5.91082274977919e-13,2.90589181540811e-10
"Gm43175",6.75721448333701,2.12197702062262,149.088873640438,6.19266118350192e-13,2.9782661600568e-10
"Car6",2.75161873297711,0.658892318124274,145.73988631532,8.16363914240384e-13,3.84264231377447e-10
"Gm26554",2.7560119829137,1.06199980287947,137.535252494068,1.64426108040911e-12,7.57833080872723e-10
"mt-Atp8",-8.62029232069711,4.65869553112434,129.869315823196,3.26638545348919e-12,1.47473970178656e-09
"1700025O08Rik",2.56535079807768,1.09196996984372,129.278468995715,3.44859485175408e-12,1.52586527810711e-09
"Hgsnat",4.85872075795913,4.77392917793017,128.788163717941,3.60805243129719e-12,1.56511654779584e-09
"mt-Tg",-11.8782808512089,1.30915794178835,127.739743212016,3.97609254603419e-12,1.69159798838297e-09
"Adamtsl5",3.66014603564722,1.13698950055924,121.802928383632,6.97964781928624e-12,2.91341035294471e-09
"mt-Tf",-9.36524635329156,1.04999068432981,115.514033851522,1.29877589334956e-11,5.32089242380968e-09
"Gm11410",-3.44290712719104,0.344198774840066,112.101941419037,1.84021518046911e-11,7.4020146250033e-09
"Gm21876",-3.24178750382847,0.352807857513025,108.571979169448,2.66301882745005e-11,1.05203509856567e-08
"mt-Nd4l",-3.4806758175501,0.345528233604615,101.092207423898,6.02144459981236e-11,2.33705998037981e-08
"Ptgis",6.88528898259174,1.9526786150121,100.747429779802,6.25931059051615e-11,2.38749531368946e-08
"Cox8b",-3.13343683040834,0.492368559444785,100.10127783996,6.73259022980796e-11,2.52449311278036e-08
"mt-Tw",-9.98461920997454,1.16659574125115,97.627741890684,8.9302500933629e-11,3.29273204692446e-08
"Gm32089",2.86298987600061,0.680241064471699,95.3326369124135,1.16650161411072e-10,4.23057626376583e-08
"mt-Ti",-8.64486746264845,1.0069224556045,95.1008498321758,1.19873444352241e-10,4.27735517645906e-08
"Gm30008",1.76873492266642,0.472787157965587,90.6017833042847,2.05609225397392e-10,7.22014744994684e-08
"mt-Tc",-10.7178653328496,2.08620218964096,89.3517035326387,2.39737795457758e-10,8.28706132642497e-08
"St8sia6",2.20517515191337,0.872883677038067,87.5823804202841,2.98788693558192e-10,1.01693881039813e-07
"Aldh1a2",2.74423480469801,0.760149128650393,86.3917931154211,3.47172002973095e-10,1.16371003360209e-07
"Gm31520",2.22730034968739,0.554976852766931,85.6178226303469,3.83075041530465e-10,1.26489091698186e-07
"mt-Nd2",-6.65855837419521,11.2643359689203,83.2609976335809,5.19106292572547e-10,1.68885125155624e-07
"Insl6",3.30784136145255,1.07875858126915,83.0542316401658,5.33295872493185e-10,1.7093154278402e-07
"Gm26774",2.70163521136266,0.68394930205183,82.9465523751646,5.40849251678408e-10,1.7093154278402e-07
"mt-Tm",-9.40644427700336,1.34338591589458,82.7349123617665,5.56030644020731e-10,1.73254449826347e-07
"Serpinb6a",3.68511863936568,2.24951351699737,82.5804251544431,5.67399810307783e-10,1.74341472269987e-07
"mt-Nd4",-5.8440640830553,11.0243581106788,79.973066255012,8.0194420949645e-10,2.4303303762589e-07
"Ccl8",-5.14691459437534,0.901758691961583,79.3914550517474,8.67278956601542e-10,2.59281248066161e-07
"Flnb",4.88708970891486,2.67708870785162,78.432236973353,9.8778957441836e-10,2.91371583398098e-07
"Spaca9",3.52371710970083,1.26118745720941,77.2250071900914,1.16550235960278e-09,3.39268535545952e-07
"Retnla",10.7555316958963,3.27318365475692,77.0531916829879,1.19345552418527e-09,3.42893721578582e-07
"Ramp3",5.12881818413848,1.68504489709917,75.7128771082613,1.43776639541568e-09,4.077911021254e-07
"mt-Ty",-8.8515792444525,1.3165355650047,74.6062833117732,1.67982435314948e-09,4.70414609680075e-07
"mt-Co1",-5.63550459253392,12.2299860351077,73.6607241452246,1.92127679685485e-09,5.31305082210249e-07
"2010110G14Rik",1.72549456479552,0.626943900745415,73.4086029842096,1.99174689407311e-09,5.43992796760239e-07
"Pelp1",4.08289542240716,3.93862077543046,72.9698038701311,2.12107241801472e-09,5.72249818338289e-07
"Mucl1",2.82596079854211,0.67966631334324,70.624012180038,2.98314410670758e-09,7.95133699670985e-07
"Gm20619",1.76480442897351,0.511900334189472,70.019832445129,3.26136083504911e-09,8.58941497068947e-07
"mt-Rnr2",-7.82019936610771,11.5376408246021,69.8878437949434,3.32575790421586e-09,8.65596966058441e-07
"Man2a1",4.10881716530795,2.05854500569014,69.6407238918356,3.45001296475029e-09,8.87495776967102e-07
"1700109G15Rik",2.31111774055796,1.31322844494716,69.4475492166396,3.55059951653814e-09,8.98034628689278e-07
"Gm2564",-1.4311428963246,0.09540952642164,69.4068917370824,3.5721668546154e-09,8.98034628689278e-07
"Hgd",1.67163153506604,0.459835990745838,68.077465563879,4.36058863047732e-09,1.08392474462977e-06
"mt-Tp",-9.16596637920427,9.27549061402087,67.5775546368429,4.70357367972053e-09,1.15619067240508e-06
"mt-Nd1",-6.07114018360031,12.3595000412442,67.2391218057624,4.95208200830886e-09,1.20390011285513e-06
"Tspan32",2.97840884979601,2.358777251563,66.6974408918917,5.37951931760207e-09,1.29359897677511e-06
"Gm4631",1.57990037708797,1.78849418637988,63.9829911864356,8.20555333030616e-09,1.95195114329423e-06
"Stfa3",2.6158050900041,0.813558104389722,63.4147669188209,8.97807434152096e-09,2.11299934741987e-06
"Rny3",-7.02804331656077,0.874077327904009,63.2847180358974,9.16559829914431e-09,2.13442664391547e-06
"Gm37932",3.20059812119778,1.91125447802052,62.7731225170073,9.94496923213879e-09,2.29179744086048e-06
"Wfdc2",-1.62441025883901,0.196370569506329,61.7077715495468,1.18048826097009e-08,2.69236513375685e-06
"mt-Tk",-7.38821732036326,0.954170853152237,61.3960750238653,1.24169634716242e-08,2.80306615186472e-06
"Ldhc",1.78943395286209,0.541727268040017,60.1352118173182,1.52622430489171e-08,3.3985482670904e-06
"B3gnt3",1.80646629005858,0.79445970602872,60.0956684108509,1.53620587944239e-08,3.3985482670904e-06
"Msr1",6.01683651008679,2.3830900009187,59.011157084536,1.83907132903937e-08,4.02829455567702e-06
"AC140426.1",-3.623242662122,0.450259800151811,58.1475012680241,2.12589069714109e-08,4.61089018557375e-06
"Gm12155",-5.00863693924311,0.826624487844938,57.7294328579248,2.28159733388804e-08,4.87594170323704e-06
"Myoz1",1.8081022937009,0.56864092732774,57.7021469167387,2.29217527973897e-08,4.87594170323704e-06
"Tmem238",3.86102108971568,2.95698708635967,57.1871372972485,2.50198860069136e-08,5.27157083934238e-06
"Wfdc18",5.11377455733573,2.01651632602041,54.8862301723215,3.72493168588269e-08,7.77421355535686e-06
"Olfr1419",2.19296194230944,0.519418776779145,54.1847404238541,4.21481454401114e-08,8.71442450066902e-06
"Bst1",5.15238537563951,1.88557970273634,53.9165935649445,4.41990511715807e-08,9.05384823211925e-06
"Slpi",10.2952975331488,4.12663162946766,53.1011370686858,5.11195838221136e-08,1.03753995678589e-05
"Fam198b",2.14729022187452,0.733573568992405,52.8996804464894,5.30021607470998e-08,1.06596982018917e-05
"Gm12972",2.48103480350553,0.634910424098453,52.4685438794981,5.7284900359778e-08,1.14172418978322e-05
"Zc3h11a",1.24221664449752,0.699363911644077,52.417379130962,5.78172155702091e-08,1.14204487505334e-05
"Akr1c13",3.51898690884006,1.7409583897995,51.6439810671387,6.65419301735839e-08,1.30274966480548e-05
"Copz1",2.26078370279119,5.28833655202757,51.5539450748532,6.76457107730163e-08,1.312742157396e-05
"Gm47015",5.83974716620004,2.68098763877887,51.0847899591132,7.3723111808032e-08,1.4182403500253e-05
"Marveld1",4.6494103765214,4.67642940961967,51.0268150406513,7.45137416369434e-08,1.42109267778802e-05
"Lyz1",8.96677909441532,3.22843087050345,50.5815564364816,8.08969032176945e-08,1.52964289733765e-05
"mt-Nd5",-5.57535448483368,10.0520669018222,49.980666755598,9.04546544169567e-08,1.68459154519358e-05
"Fam46a",4.90477119931839,5.47089001031831,49.971205839003,9.06144708574951e-08,1.68459154519358e-05
"Prdx4",2.78571686282022,4.72738250786971,49.7896586582242,9.37404581346111e-08,1.72818346276e-05
"4930455G09Rik",6.22317313640137,2.26223899781264,49.4630182550243,9.96590142659485e-08,1.8172447316268e-05
"Gm21269",1.49990035954316,0.469544683215224,49.4334490249922,1.0021419213419e-07,1.8172447316268e-05
"Cdkn3",2.84530358551074,1.55108871562502,49.1971612701917,1.04771302223053e-07,1.88443538136634e-05
"Asf1b",3.35467232780741,2.06499829751169,48.9535760535996,1.09702083117483e-07,1.95720902000652e-05
"Gm2594",-2.39871510759016,0.280000554412413,48.8112597044223,1.12697351475338e-07,1.99456280535112e-05
"Dmac1",2.06403628236546,7.47540941508018,48.6563476639082,1.16057445550697e-07,2.03772926025243e-05
"Lbp",3.8487556483978,1.53221021410757,48.0017811800372,1.31485261253639e-07,2.29043183835768e-05
"Hpgd",-5.73111834120919,2.47376372764067,47.7775763525785,1.37262666735964e-07,2.37239216890604e-05
"2900092C05Rik",1.56530367929149,0.756174840990142,47.5238628180251,1.44129744264757e-07,2.47176924989862e-05
"Cd36",4.25588231657191,1.6781078548606,47.4796493679818,1.45363594464174e-07,2.47375292333149e-05
"Rax",1.68757005620659,0.465146536742639,47.2732425659448,1.51275128959622e-07,2.55470204425474e-05
"Inmt",-2.34157306419496,0.220248852633042,47.1285495246533,1.55572245801795e-07,2.60736726808568e-05
"Nt5e",4.61904157163619,1.77707075229051,46.7234667458927,1.68312074201055e-07,2.79967520116537e-05
"Nucb2",3.73271270696165,2.66099063758337,46.6599143023858,1.7041008127684e-07,2.81341957319966e-05
"Ehd1",5.66277777216517,5.29324691708481,46.062507014848,1.91556797641758e-07,3.13911928461378e-05
"F5",7.08279311206488,2.41458657470034,45.9843869216561,1.94523265025457e-07,3.15903695443741e-05
"Adipor2",2.4154873366556,3.59770985174202,45.9460587927004,1.95996644125251e-07,3.15903695443741e-05
"Trpv5",1.52613045834313,0.422764537958263,45.9186896877111,1.97056050134413e-07,3.15903695443741e-05
"1700016J18Rik",-3.10056441551162,0.353745065556289,45.8539729300582,1.99585561538873e-07,3.17656933663632e-05
"Gm33280",2.57692636126836,1.19493537800393,45.7736805000988,2.02772249010219e-07,3.20423604632362e-05
"Anp32b",2.62759111924884,4.72951445560966,45.2158674887531,2.26471206080378e-07,3.5533492851888e-05
"4933417E11Rik",1.46791733543857,0.403136168693008,45.1648679066216,2.28781286914548e-07,3.56431578197925e-05
"Ecm1",10.8054066575835,5.34739836676712,44.5259364442631,2.59959191583397e-07,4.02173230447516e-05
"Fam43a",5.79148699339423,6.18778151794226,44.4864719204621,2.6202852903409e-07,4.02559524154249e-05
"Gm35572",1.54895823635182,0.931017049914713,44.3358173635015,2.70091700447515e-07,4.12085426827611e-05
"Gm3839",1.55813610912192,0.681618555987827,44.1425368469577,2.80827147288729e-07,4.25530067086887e-05
"Gm29325",3.19833288703411,1.17196478733046,44.0545686294742,2.85863568201385e-07,4.30214946892466e-05
"Arfip1",1.38713773396284,0.950549542419028,43.8348052667791,2.98872786545806e-07,4.46754233564383e-05
"Lilra5",-3.53247364594219,1.99977909002444,43.4524753940992,3.23039245476783e-07,4.79637397831066e-05
"Irf2",2.48270882951483,3.03828965544222,43.0723409743388,3.49151122129057e-07,5.14951351657409e-05
"Apoc1",5.6809446859605,2.38602341248021,42.9620601211955,3.5714246487887e-07,5.23249188775844e-05
"Ccl26",1.46054307534833,0.345700378093659,42.3834918623128,4.02401136424387e-07,5.85678969810311e-05
"Hist1h2ag",4.02667291080174,1.22375806803161,42.346920734116,4.05461077866386e-07,5.8627551801556e-05
"Plekhm1",2.14945319816447,2.98931463702687,42.2432280588484,4.1427331325598e-07,5.95127825270262e-05
"Ptms",-3.95147296054823,5.90933496138939,42.1064440465475,4.26212562646583e-07,6.03898943702035e-05
"Hdgf",2.54971264825054,6.41329302149143,42.0864194024575,4.27991093889864e-07,6.03898943702035e-05
"Trappc1",1.73302946030674,7.43711576773312,42.079941283156,4.28568160562399e-07,6.03898943702035e-05
"Gbe1",1.48737978066171,1.17860809413432,41.9698280840594,4.38505383079071e-07,6.11768765602453e-05
"Lrba",-1.6396654351973,0.820430671690685,41.956948234109,4.39683739686254e-07,6.11768765602453e-05
"Gm27168",-5.14124217422008,1.11554337888835,41.9149285919836,4.43551665949278e-07,6.13293344112243e-05
"Baiap2",3.62034696317513,2.90442608853183,41.802605313281,4.5407093160662e-07,6.22750477200611e-05
"Olfr127",2.01588874795731,0.806441474027531,41.7820864405952,4.56021232683176e-07,6.22750477200611e-05
"Speer6-ps1",1.37827623629903,0.403588095971023,41.7350405143154,4.60526825344821e-07,6.25045089392851e-05
"Smim22",-2.3019324771683,0.5143206690949,41.6762744472848,4.66221878224929e-07,6.28916256827446e-05
"Abcf1",1.82457229378797,5.19920328751389,41.6205203571906,4.71694747691349e-07,6.32442600192468e-05
"Klf10",4.84810660812561,6.43239958774483,41.4698514275786,4.86831351996631e-07,6.48805421700088e-05
"Wars",1.79899012085731,3.94381450796343,40.9085119499092,5.47966492514355e-07,7.25520565740316e-05
"Ldha",2.80158374834155,7.37195622546018,40.8828269448554,5.50953555324202e-07,7.25520565740316e-05
"Gm11408",-3.15104325353379,0.45019201562662,40.6476980661697,5.79122104776521e-07,7.58101675974614e-05
"Nudt1",1.7410317122664,2.35116339703612,40.5777481616266,5.87796635523581e-07,7.64930880452246e-05
"Lsm2",2.27706715509377,5.17078515233816,40.4831911459535,5.99744395687571e-07,7.75914927824336e-05
"4930555A03Rik",3.87586345306721,1.09512556894876,40.3244365272347,6.20392183311678e-07,7.97961411128154e-05
"Gm9267",2.19189023789145,2.02127704739822,40.2247893202512,6.33740040183808e-07,8.1041797161771e-05
"Vmn1r-ps60",1.6721544446437,0.334430888928739,40.1316490037091,6.46494430963387e-07,8.21976798632357e-05
"Gm5086",-3.60892211385187,1.54205576753696,39.8559107415149,6.85890289932441e-07,8.67082907667165e-05
"AC155167.2",2.38612270582256,0.589289523722897,39.4887247281175,7.42387684829477e-07,9.33172883606961e-05
"Rad51",2.56173178878713,1.05962879960072,39.4551708580828,7.47793391175135e-07,9.34657242540537e-05
"F10",7.10810085400187,2.46731559161103,39.3854237136407,7.59165279260038e-07,9.43540082756731e-05
"Gm25008",-5.57438632080303,0.81562941391084,39.1287771095104,8.02630131334437e-07,9.91988066788367e-05
"Gm4035",2.01088004641763,0.906810113079135,38.9821052836584,8.28659649499557e-07,0.000101368931668573
"Kctd9",3.45245434772092,2.45602759555147,38.9782660299535,8.2935300962852e-07,0.000101368931668573
"mt-Td",-6.67732954024402,1.46768257533616,38.9400349604662,8.36291422432027e-07,0.00010161871015173
"Zfp395",2.08951309316675,1.8239309234614,38.9165560977651,8.4058328245566e-07,0.00010161871015173
"5031425F14Rik",2.8335834785864,1.36694389782604,38.8779747350311,8.4768710391329e-07,0.000101920553260183
"Clec4d",6.09149802480745,2.54428189369891,38.7866435115226,8.64760870448595e-07,0.000103411376956401
"Snx3",1.92991914440912,5.40647728027016,38.7123305546633,8.7892473134757e-07,0.000104540063610765
"Padi3",1.17805076348696,0.326499381625066,38.6684418166692,8.87406262129024e-07,0.000104984431749093
"Cmc2",1.59251276078516,1.74694788186339,38.6367465211464,8.93585850599738e-07,0.000105153190280947
"Ms4a8a",7.65269000669325,2.51571776431719,38.054422378637,1.01571130200149e-06,0.000118891963672904
"D130058E05Rik",2.46786145010549,0.769363106123657,37.917941591612,1.04684421259771e-06,0.000121891234291048
"mt-Nd3",-5.70859021887336,3.68459386273808,37.8058495303725,1.07317764885158e-06,0.000124303189138971
"Ptger4",3.00741463166516,2.43030856855701,37.5253352798942,1.14223551040317e-06,0.000131612896857549
"Rpn2",2.84723403492216,5.92784494109987,37.2389165951102,1.2176787485508e-06,0.000138468243892983
"Ubl5",1.84358206108027,7.34758236802698,37.2257647638308,1.22126862902699e-06,0.000138468243892983
"Pmf1",2.26022767106424,2.83994604975786,37.2199740738154,1.22285282668508e-06,0.000138468243892983
"Slc25a13",1.90131639282368,1.09913844949652,37.2056994638206,1.2267674277008e-06,0.000138468243892983
"1010001N08Rik",1.33585228803094,0.268727502690473,36.8827542849284,1.3190115204787e-06,0.000148124324200763
"Rab27a",2.43631117133939,2.27760777019173,36.774707360874,1.3515085797369e-06,0.000151007193482421
"Ahcy",2.59561119938543,2.40666951906951,36.6975134143594,1.37525036918208e-06,0.000152887758378971
"S100a10",5.92639064033442,4.43600643771444,36.6499830067457,1.3900905799362e-06,0.000153764869499642
"Gm26623",2.98191577735807,2.20109939386865,36.6111228450409,1.40235106813317e-06,0.000154349316817464
"mt-Tn",-9.12428588883784,3.81262383202174,36.5582690971604,1.41921266742807e-06,0.000155431890304511
"Bcam",5.9333667884145,3.13572938318417,36.5017487092662,1.43748438417766e-06,0.000156657473059913
"Gm38832",3.55398569157466,1.33342606664648,36.4596526785978,1.45125658102126e-06,0.000157383085009477
"Mst1r",3.74352165863309,1.36877610086925,36.3312723159552,1.49413689663821e-06,0.000161242880801596
"Acly",3.66720881577313,5.67515130194071,36.2719279513165,1.51441500899594e-06,0.000162637879825326
"Cks1b",3.82324588840264,4.47863150463062,36.2189800570525,1.53275617752623e-06,0.000163812390895714
"Cfp",9.47964355561215,6.16834398619515,36.1883045958872,1.54349082023365e-06,0.000164166574115525
"mt-Rnr1",-7.00576379948943,10.7909451269846,36.1383586024389,1.56114157864692e-06,0.000165249450451702
"Olfr620",1.24414293550923,0.799902898657888,36.0753867092239,1.58370414781181e-06,0.000166839461247813
"Grk6",3.61938224755578,5.20770232792881,35.9918823614904,1.61416319240686e-06,0.000169242333201976
"Mgp",-5.89780733620482,1.42855655161012,35.7825126087291,1.69332412939341e-06,0.000176704762804577
"Cenpx",1.71317253889407,6.29841789268814,35.3918849520506,1.85234465251526e-06,0.000192391646702324
"mt-Nd6",-5.03068174134675,10.0797116999677,35.2797732312781,1.90088269157865e-06,0.000195303175964194
"Glb1",2.97010653666593,3.52417051564071,35.2618386021003,1.90877286618897e-06,0.000195303175964194
"Lamtor2",1.89721442050237,6.44885096744257,35.2592936213409,1.90989534413501e-06,0.000195303175964194
"Agtrap",3.42498483001059,3.85896821757226,35.2461829949273,1.91568906496542e-06,0.000195303175964194
"Lrrc51",1.76422364683444,0.664113758844006,35.1249637611285,1.97015688119408e-06,0.000199934773773654
"Mpp1",3.97798236079732,4.75911257468688,35.042990041582,2.00792850688695e-06,0.000202837453688858
"Ttr",-8.24907741967628,1.6417072559651,34.9793139318068,2.03780376881808e-06,0.000204919694443465
"Akr1c12",1.1397034765668,0.334867742412832,34.7118072781318,2.16861013077457e-06,0.000217086705534506
"Mfsd5",3.00228196464733,7.8924507444429,34.690145545614,2.17958887322624e-06,0.000217202903794523
"Gmnn",3.19632314514791,2.6837112430788,34.5620283595071,2.2457506045746e-06,0.00022279255885652
"Prtn3",5.43688715174801,2.32275243459641,34.4223741844803,2.32032685488289e-06,0.000229163352725778
"Gm10732",1.2312938342527,0.352129556161309,34.3678401424601,2.3501642789404e-06,0.000231078597079994
"Rfc5",2.86549000932925,3.75348257767654,34.3158787409972,2.37897648225272e-06,0.000232876534145474
"Asz1",1.1700937476926,0.336603368655331,34.2713038131254,2.40399430546997e-06,0.000234288837092124
"Olfr1170",1.68368948723403,0.451225157290055,33.8831327345072,2.63414587046816e-06,0.000255593022334943
"Gm4841",3.05497471481515,1.12003688937214,33.8415931166842,2.66013781582539e-06,0.000256987899124476
"Birc5",5.08329859423107,3.06325279115032,33.6892835670782,2.75781423522168e-06,0.000265265757938301
"AC107452.3",1.18188564964575,0.739408756139284,33.5917408391797,2.82238046555117e-06,0.000270300965538479
"Fcrla",3.17639389808263,1.41021838897956,33.472019273164,2.90384751397018e-06,0.000276904390308458
"G6pd2",2.73034180710552,2.53939928284486,33.4046214627215,2.95081418156626e-06,0.000280175373986224
"Gypc",3.94940779353398,1.56380349390425,33.30381817922,3.02258372018045e-06,0.000285668821881181
"Pitpna",2.57234656428661,5.66232292930574,33.2873339409503,3.03449681969341e-06,0.000285668821881181
"Gm47851",-2.44649192526291,0.611993164918769,33.2602369304485,3.0541890900483e-06,0.000286304344233638
"Gm45237",1.18450899482655,0.314580855092588,33.1679061574636,3.12232268181371e-06,0.000291456306707868
"Fignl1",3.01321842031459,1.69480233372841,33.1260254682815,3.15376245729913e-06,0.00029315414639844
"AC121567.1",2.56663638721074,2.20452305866437,32.831417817691,3.38473317180921e-06,0.000313307330376298
"Defb11",-1.20207451827526,0.118061652411637,32.8065357388119,3.40505355768332e-06,0.000313874999402617
"Selenow",3.35820732934388,7.67906686001699,32.515226199221,3.65291793958061e-06,0.000335325740984821
"Pcyt1a",1.8587906394389,3.71708391489819,32.4268822512002,3.73185117420668e-06,0.000339371805030804
"Ms4a6b",-4.80088998079374,2.95426137331163,32.4234721295419,3.73493440860296e-06,0.000339371805030804
"Gm13203",1.88568462056113,0.377136924112227,32.4145491275246,3.74301498112897e-06,0.000339371805030804
"Mfsd4b1",1.12036767778623,0.413263418596657,32.3251771689085,3.8249896289831e-06,0.00034538875739589
"Snord118",-6.39640419592207,3.31033309630177,32.0127717420804,4.12698108878554e-06,0.000371143100110579
"Cyb5r3",2.57596917948941,5.03211346858894,31.9352761654436,4.20577969789521e-06,0.00037669823585642
"D430040D24Rik",-2.24452588664503,1.05590562664784,31.8039216127973,4.34304549291708e-06,0.000387424175160502
"Rpl31-ps11",4.59859612911473,3.17951978354803,31.7591416010456,4.39093062590254e-06,0.000390122723842738
"Uap1",2.97480190031838,3.94108046708853,31.6158940939362,4.54794561833547e-06,0.000400881180655248
"Gm13056",3.02535205841962,0.852958953624621,31.6156117940067,4.54826092051111e-06,0.000400881180655248
"Plod3",2.74324089721192,7.28903110584561,31.5509660802439,4.62108407840462e-06,0.000405683504232323
"Kif22",3.42237865747871,1.96229085112152,31.3588897173747,4.8449198102294e-06,0.000423652810125316
"Mrps15",2.29088035236624,5.09868573592177,31.3064458294424,4.90803287275815e-06,0.000427481934031609
"Pygl",5.2012997254944,3.02904420471753,31.1029442620207,5.16139760661539e-06,0.000447786663730009
"Gm1673",5.63784833632198,5.48789608906789,31.053763988803,5.224706289509e-06,0.000451508504854717
"Gm45551",1.94553633093161,1.58689820547337,30.9859348212229,5.31338899038843e-06,0.000457385621145383
"mt-Tt",-6.58387978030258,1.26692564720159,30.9651070007077,5.34094253205234e-06,0.000457975471459667
"Ltbp1",3.20159348479646,1.18667571445423,30.9346777476738,5.38147338141795e-06,0.000459669249486909
"Snrnp25",2.24149421642851,5.06807234534231,30.7472011808828,5.6385647650809e-06,0.00047977680114571
"Psen2",2.12812706368367,2.77396528889237,30.5969903032063,5.85404022672066e-06,0.000496202804351499
"Wfdc17",7.61259254857827,5.38498600732969,30.5702361853178,5.89333525351295e-06,0.000497626930585752
"Txn1",3.21830235570801,5.43238827254893,30.5516908265547,5.92073937692522e-06,0.000498039989489417
"Sdf4",1.68616224726699,6.5696397272789,30.472709315067,6.03898613355925e-06,0.00050606246300277
"Eri1",1.83833626217407,3.03200317996843,30.2265366050332,6.42405241629173e-06,0.000536299289077819
